nrContururi   minimPerim   maximPerim   deviatiePerim    mediePerim   minimArie   maximArie   deviatieArie    medieArie  tip 
1217   2.000000     11392.867203     347.233696     47.076104     5.500000     371205.500000     10660.367018     438.325801          a
1162   2.000000     6973.334580     207.020164     37.410485     58.000000     434186.000000     12730.783983     450.140706          a
1349   656.884337     3497.063382     189.960830     38.016863     3447.500000     24353.500000     1289.498374     151.809118          a
1480   268.835567     4360.315252     203.289236     35.905577     619.500000     59002.500000     2043.856287     180.487838          a
1469   49.455844     3573.004505     182.104925     37.176610     89.000000     59004.500000     2109.174783     213.750851          a
1413   5.414214     3536.151694     191.761448     40.579090     0.500000     58886.500000     2258.957078     248.872258          a
1341   0.000000     4088.935528     186.624909     36.074898     0.000000     24368.500000     1414.402888     171.807979          a
1382   17.556349     3236.671464     172.773203     38.362543     4.500000     29792.000000     1799.713527     227.634588          a
1431   8.828427     4334.651255     190.876135     39.347332     1.000000     60422.500000     2306.946648     240.171209          a
1245   3.414214     3360.529330     198.407212     45.219121     0.500000     58791.000000     2370.775390     277.757831          a
1970   4.828427     9979.480343     247.618631     33.606806     1.000000     193455.500000     4491.003652     196.856599          a
1207   48.142135     13733.971006     403.263774     50.063464     143.000000     413981.000000     11915.515165     454.536454          a
1098   4.828427     7231.750881     224.786734     42.546992     1.000000     444591.000000     13411.821782     497.989526          a
2395   6.000000     15274.285046     323.986944     26.539734     240816.500000     240816.500000     5044.074378     156.265553          a
2725   6.000000     19193.046914     371.425591     25.199373     20.000000     227148.500000     4357.188183     114.352294          a
2801   2.000000     11760.819648     241.335317     26.202347     0.000000     332208.000000     6366.337068     183.246162          a
1157   2.000000     7215.130605     219.657278     39.818920     0.500000     441372.500000     12976.255253     472.242437          a
1121   5.656854     8164.943876     248.608354     42.172823     2.000000     446116.500000     13319.321563     493.266280          a
1268   5.656854     4380.375879     127.418039     31.148940     2.000000     466710.000000     13101.370098     433.026025          a
1096   10007.476170     10007.476170     312.669080     45.278036     402172.500000     402172.500000     12158.118200     484.983120          a
291   5397.943542     5397.943542     336.226470     54.388588     474386.000000     474386.000000     27821.961021     1823.159794          b
365   2.000000     3868.586996     207.830913     39.358325     2.000000     465921.000000     24351.717349     1337.405479          b
242   2.000000     6183.562943     399.879103     60.896487     204.500000     436650.500000     28006.665573     1887.979339          b
273   5.656854     6482.575133     394.169460     54.654390     2.000000     439826.000000     26567.444689     1680.961538          b
270   5.656854     5018.944422     306.484136     51.513158     2.000000     457696.000000     27799.105664     1770.657407          b
363   2.000000     6437.119291     338.949606     44.568871     2.000000     442084.000000     23169.094439     1272.318182          b
269   2.000000     5507.419598     336.469164     51.524852     2.000000     448545.000000     27293.919313     1737.526022          b
335   9.414214     4491.942335     247.185160     40.215426     3.500000     460683.500000     25129.941245     1431.698507          b
344   5.656854     4880.115994     264.148252     40.611157     2.000000     465035.000000     25034.211783     1400.579942          b
321   7.656854     5231.568875     292.557543     42.657787     4.000000     458163.500000     25529.862206     1477.459502          b
1021   2.000000     4360.380055     176.308903     23.224196     0.000000     272468.000000     9870.650990     450.216944          b
346   5.656854     5995.815688     326.704332     46.100314     2.000000     438448.000000     23535.052719     1338.187861          b
868   2.828427     9226.296246     314.470926     25.713635     2.000000     433174.500000     14694.184687     523.596198          b
1111   4.828427     7869.086007     244.747375     26.963340     1.000000     444082.500000     13326.972327     450.960846          b
1338   5.656854     6854.125552     197.554015     25.040921     1.000000     395387.500000     10877.465802     371.828475          b
1576   8630.126762     8630.126762     221.282147     24.686477     426648.000000     426648.000000     10744.560020     307.221447          b
1149   2.000000     6851.403564     204.498057     21.263028     447666.000000     447666.000000     13200.756580     414.064404          b
1031   2.000000     6849.812723     217.754015     22.921552     2.000000     444952.500000     13851.034080     461.120757          b
953   2.000000     4476.328318     183.868950     23.756497     63.500000     277931.500000     10414.734304     485.368311          b
963   9.071068     5934.692882     199.562552     24.019615     5.500000     446641.000000     14388.079378     502.992212          b
1166   6602.707166     6602.707166     196.860355     22.020560     444177.000000     444177.000000     13002.817089     412.056604          b
1237   5.656854     8504.985505     243.709370     27.187523     2.000000     417164.000000     11856.679464     373.858933          b
298   6468.533504     6468.533504     375.724752     51.418225     445996.500000     445996.500000     25789.661392     1566.936242          b
1307   3.414214     6831.611711     196.663055     25.341579     0.500000     364298.500000     10150.104099     345.292272          b
1378   4.000000     4792.193325     143.542647     23.233512     1.000000     316159.000000     8722.029665     322.471335          b
1450   2.000000     6601.358966     181.073825     21.292281     80814.500000     313852.000000     8506.247481     291.557931          b
1465   2.000000     5195.122254     148.514194     22.429726     98166.000000     293442.500000     8080.243292     294.722526          b
1472   5.656854     7044.280759     185.633995     24.102854     2.000000     430520.000000     11217.368831     324.551630          b
1616   5.656854     7257.760989     182.689512     23.778629     2.000000     431503.000000     10730.789998     299.715037          b
1442   2.000000     7360.877860     195.903543     22.746267     2.000000     388798.000000     10237.222982     303.050971          b
1468   3.414214     6082.883789     167.965148     21.933546     0.500000     395187.000000     10326.239088     310.986035          b
1566   5.656854     7602.025048     194.828527     20.360046     2.000000     370568.000000     9373.269793     266.410920          b
1667   2.000000     7160.353911     176.875016     21.297578     2.000000     404464.000000     9903.504175     268.095381          b
321   2.000000     5607.867424     314.235088     47.168229     2.000000     454528.500000     25326.903357     1482.316199          b
1821   5.656854     7327.702112     173.529404     23.272697     2.000000     417824.000000     9788.483712     260.540912          b
1869   15.656854     8876.732760     206.195894     23.155651     6.000000     405526.500000     9377.418668     243.401017          b
