"1" "minimPerim1" "maximPerim1" "deviatiePerim1" "mediePerim1" "minimArie1" "maximArie1" "deviatieArie1" "medieArie1" "minimPerim2" "maximPerim2" "deviatiePerim2" "mediePerim2" "minimArie2" "maximArie2" "deviatieArie2" "medieArie2" "tip"
"77" "0.000000" "8760.428278" "233.439354" "24.345366" "0.000000" "433529.500000" "11149.545241" "332.792602" "0.000000" "8760.428278" "233.439354" "24.345366" "0.000000" "433529.500000" "11149.545241" "332.792602" "b"
"78" "5.656854" "7444.892139" "191.959826" "24.429122" "0.500000" "387107.000000" "9508.914823" "300.803933" "5.656854" "7444.892139" "191.959826" "24.429122" "2.000000" "387107.000000" "9508.914823" "300.803933" "b"
"79" "2.000000" "11397.945415" "264.351619" "25.271605" "2.000000" "404112.500000" "9245.361949" "249.098953" "5.656854" "11397.945415" "264.351619" "25.271605" "2.000000" "404112.500000" "9245.361949" "249.098953" "b"
"80" "2.000000" "9404.369406" "210.870474" "17.710434" "2.000000" "432019.500000" "9530.850800" "227.954236" "2.000000" "9404.369406" "210.870474" "17.710434" "0.000000" "432019.500000" "9530.850800" "227.954236" "b"
"81" "5.656854" "7592.485943" "186.417296" "18.496455" "2.000000" "425177.000000" "9959.073329" "259.517279" "4.000000" "7592.485943" "186.417296" "18.496455" "2.000000" "425177.000000" "9959.073329" "259.517279" "b"
"82" "4.828427" "4462.168939" "149.500970" "18.446987" "2.000000" "274481.000000" "7372.114627" "254.378297" "2.000000" "4462.168939" "149.500970" "18.446987" "2.000000" "274481.000000" "7372.114627" "254.378297" "b"
"83" "5.656854" "6819.993523" "176.799092" "19.417536" "2.000000" "441767.500000" "10865.810180" "296.855414" "4.828427" "6819.993523" "176.799092" "19.417536" "1.000000" "441767.500000" "10865.810180" "296.855414" "b"
"84" "2.000000" "9834.883247" "221.495370" "18.229183" "2.000000" "425529.500000" "9436.251608" "229.018446" "2.000000" "9834.883247" "221.495370" "18.229183" "2.000000" "425529.500000" "9436.251608" "229.018446" "b"
"85" "2.000000" "10785.292403" "242.191777" "25.171271" "2.000000" "402509.000000" "8969.267536" "231.677347" "2.000000" "10785.292403" "242.191777" "25.171271" "2.000000" "402509.000000" "8969.267536" "231.677347" "b"
"86" "5.656854" "7005.768127" "358.274682" "46.687360" "2.000000" "431809.500000" "21978.225491" "1200.407792" "5.656854" "7005.768127" "358.274682" "46.687360" "2.000000" "431809.500000" "21978.225491" "1200.407792" "b"
"87" "2.000000" "8074.274828" "183.384411" "23.556758" "0.000000" "355686.000000" "7838.209807" "220.610526" "2.000000" "8074.274828" "183.384411" "23.556758" "0.000000" "355686.000000" "7838.209807" "220.610526" "b"
"88" "2.000000" "5924.405648" "140.849963" "22.235759" "2.000000" "308943.500000" "6802.705839" "209.213460" "5.656854" "5924.405648" "140.849963" "22.235759" "2.000000" "308943.500000" "6802.705839" "209.213460" "b"
"89" "5.656854" "3947.468368" "119.042624" "21.067601" "2.000000" "182930.000000" "4903.634148" "189.914756" "5.656854" "3947.468368" "119.042624" "21.067601" "2.000000" "182930.000000" "4903.634148" "189.914756" "b"
"90" "4.828427" "3307.270323" "108.323613" "22.594407" "2.000000" "178094.500000" "4866.373442" "199.706735" "5.656854" "3307.270323" "108.323613" "22.594407" "2.000000" "178094.500000" "4866.373442" "199.706735" "b"
